,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
92,2014-08-03,FMC3979,NY,7803740923.0,BK,2015-01-01 00:00:00,VOLKS,Insp Sticker Expired (NYS),71A,0.0,1095.0
93,2014-08-12,65566PA,NY,7825953587.0,WH,2015-01-01 00:00:00,HINO,No Standing,14,0.0,1099.0
94,2014-08-15,GSL6683,NY,7650718440.0,GY,2016-01-01 00:00:00,HONDA,Expired Muni Meter,37,1.0,1102.0
95,2014-08-20,GHN9203,NY,7188992885.0,GY,2015-01-01 00:00:00,TOYOT,Expired Muni Meter,37,0.0,1106.0
96,2014-08-12,FYW2805,NY,8005763591.0,GY,2016-01-01 00:00:00,SUBAR,No Parking (street clean),21,0.0,1111.0
97,2014-08-09,GFC8629,NY,1362463164.0,GREY,2015-01-01 00:00:00,DODGE,,,0.0,1113.0
98,2014-08-06,32297MA,NY,1370884886.0,WHITE,2015-01-01 00:00:00,MERCU,,,0.0,1123.0
99,2014-08-14,49401AU,NY,7838789783.0,WH,2015-01-01 00:00:00,FORD,No Standing,14,0.0,1138.0
100,2014-08-02,75779MB,NY,7012235664.0,WH,2014-01-01 00:00:00,HINO,Failure to Disp Muni Recpt,69,0.0,1139.0
101,2014-08-19,EPW7876,NY,7421183966.0,RD,2015-01-01 00:00:00,CHEVR,No Standing,14,0.0,1141.0
102,2014-08-26,GEB6419,NY,1369258185.0,SILVE,2014-01-01 00:00:00,BMW,,,0.0,1151.0
103,2014-08-26,GEB6419,NY,1369258185.0,SILVE,2014-01-01 00:00:00,BMW,,,0.0,1152.0
104,2014-08-25,EPC9823,NY,8004265030.0,TN,2015-01-01 00:00:00,NISSA,No Stand (bus stop),19,0.0,1155.0
105,2014-08-23,EUH6533,NY,7922386667.0,GY,2015-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,1222.0
106,2014-08-28,155XKT,CO,8004265856.0,BLUE,2014-01-01 00:00:00,BMW,No Standing,14,0.0,1228.0
107,2014-08-30,XR433U,NJ,7911958350.0,WHITE,2010-01-01 00:00:00,ISUZU,Failure to Display Muni Rec,38,0.0,1232.0
108,2014-08-09,9AJPB1,CT,7032942647.0,BLUE,2014-01-01 00:00:00,NS/OT,No Parking (street clean),21,0.0,1236.0
109,2014-08-02,FHY4003,NY,7663552556.0,BK,2015-01-01 00:00:00,NISSA,Failure to Display Muni Rec,38,0.0,1239.0
110,2014-08-09,GCH3578,NY,7095986370.0,BK,2014-01-01 00:00:00,NISSA,Missing Display Plate,74,0.0,1244.0
111,2014-08-28,43243JV,NY,7566753721.0,WH,2016-01-01 00:00:00,WORK,Failure to Display Muni Rec,38,0.0,1249.0
112,2014-08-22,GPV6813,NY,7641977947.0,GY,2016-01-01 00:00:00,HONDA,No Parking (Non-COM),20A,0.0,1255.0
113,2014-08-01,GLR1836,NY,7208360029.0,BK,2015-01-01 00:00:00,BMW,No Parking (exc auth veh),24,0.0,1264.0
114,2014-08-16,GCW2300,NY,1373828808.0,WH,2014-01-01 00:00:00,ME/BE,,,0.0,1267.0
115,2014-08-21,OL2955J,NJ,7839564410.0,BLACK,8888-01-01 00:00:00,CADIL,Double Parking (Non-COM),46A,0.0,1269.0
116,2014-08-02,37215JU,NY,7414797193.0,WHITE,2015-01-01 00:00:00,GMC,Nighttime PKG on Res Street,78,0.0,1271.0
117,2014-08-13,76131JY,NY,1370884163.0,WHT,2016-01-01 00:00:00,,,,0.0,1273.0
118,2014-08-05,79096JR,NY,7807753808.0,WH,2015-01-01 00:00:00,FORD,Insp Sticker Expired (NYS),71A,0.0,1279.0
119,2014-08-27,42719JZ,NY,7985359254.0,WHITE,8888-01-01 00:00:00,GMC,Double PKG-Midtown,47,0.0,1283.0
120,2014-08-05,GDP1511,NY,8006557986.0,BK,2014-01-01 00:00:00,CADIL,No Parking (street clean),21,0.0,1292.0
121,2014-08-13,DME8815,NY,7753122101.0,BK,2016-01-01 00:00:00,ME/BE,No Parking (street clean),21,0.0,1300.0
122,2014-08-29,EUF5269,NY,7950678203.0,WHITE,2015-01-01 00:00:00,TOYOT,No Parking (Non-COM),20A,0.0,1308.0
123,2014-08-07,GDCYN,AZ,7999993086.0,WHITE,2014-01-01 00:00:00,TOYOT,Fire Hydrant,40,0.0,1316.0
124,2014-08-30,EPL4638,NY,7041732393.0,GY,2015-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,1318.0
125,2014-08-26,11781JY,NY,7090981370.0,WHITE,8888-01-01 00:00:00,CHEVR,Failure to Display Muni Rec,38,1.0,1344.0
126,2014-08-19,CES2729,NY,1366271348.0,MAROO,2014-01-01 00:00:00,JEEP,,,0.0,1355.0
127,2014-08-25,FSM2583,NY,7582781340.0,BK,2015-01-01 00:00:00,ME/BE,No Parking (street clean),21,0.0,1368.0
128,2014-08-05,62346KA,NY,7938726941.0,WH,2015-01-01 00:00:00,UD,Insp Sticker Expired (NYS),71A,0.0,1374.0
129,2014-08-22,XAUM88,NJ,7057436592.0,WHITE,2014-01-01 00:00:00,FORD,Failure to Disp Muni Recpt,69,0.0,1386.0
130,2014-08-14,T631274C,NY,1378121272.0,RED,2015-01-01 00:00:00,MERCU,,,0.0,1387.0
131,2014-08-19,CJB3236,NC,8010957653.0,SILVE,2015-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,1402.0
132,2014-08-24,1089CU,CT,1366485191.0,GRAY,2015-01-01 00:00:00,CHEVR,,,0.0,1410.0
133,2014-08-11,DUB4755,NY,8002166450.0,BL,2014-01-01 00:00:00,TOYOT,Fire Hydrant,40,0.0,1412.0
134,2014-08-25,FYA5864,NY,7006258730.0,BR,2016-01-01 00:00:00,ACURA,No Parking (street clean),21,0.0,1417.0
135,2014-08-27,GNH4750,NY,7785023475.0,WH,2016-01-01 00:00:00,ME/BE,Failure to Display Muni Rec,38,0.0,1420.0
136,2014-08-18,14883MB,NY,8005464502.0,WH,2015-01-01 00:00:00,INTER,Bike Lane,48,0.0,1421.0
137,2014-08-11,J541HH,NY,7003005293.0,WH,2015-01-01 00:00:00,CHEVR,Safety Zone,53,0.0,1422.0
138,2014-08-25,TYSAM05,NY,8002023699.0,BK,2015-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,1429.0
139,2014-08-27,216YZE,CT,7828549570.0,BLACK,2014-01-01 00:00:00,ACURA,No Stand (Com. Mtr. Zone),31,0.0,1457.0
140,2014-08-11,FRY6211,NY,7307919254.0,BL,2016-01-01 00:00:00,CHEVR,Impropr Dsply of Reg (NYS),70B,0.0,1458.0
141,2014-08-02,EUJ5676,NY,7145592903.0,BLACK,2015-01-01 00:00:00,AUDI,Expired Muni Meter,37,0.0,1479.0
142,2014-08-05,32296MA,NY,7914343420.0,WH,2015-01-01 00:00:00,INTER,Double PKG-Midtown,47,0.0,1482.0
143,2014-08-12,57676JU,NY,7787567570.0,WH,2015-01-01 00:00:00,CHEVR,No Parking (street clean),21,0.0,1492.0
144,2014-08-19,BZR7669,NY,7730471553.0,TAN,2014-01-01 00:00:00,FORD,Reg. Sticker Expired (NYS),70A,0.0,1532.0
145,2014-08-14,GEM6883,NY,1372332534.0,BLUE,2015-01-01 00:00:00,ME/BE,,,0.0,1574.0
146,2014-08-14,GEM6883,NY,1372332534.0,BLUE,2015-01-01 00:00:00,ME/BE,,,0.0,1575.0
147,2014-08-15,6JZ1104,NY,1372174977.0,WH,2015-01-01 00:00:00,FORD,,,0.0,1600.0
148,2014-08-27,16222TC,NY,7428777173.0,TAN,2015-01-01 00:00:00,PETER,No Stopping,10,0.0,1607.0
149,2014-08-16,EHY6096,NY,7647583475.0,BL,2016-01-01 00:00:00,VOLKS,Double Parking (Non-COM),46A,0.0,1619.0
150,2014-08-30,GKL2443,NY,7485960672.0,BL,2015-01-01 00:00:00,TOYOT,No Standing,14,0.0,1621.0
151,2014-08-09,ZXG60L,NJ,7507470325.0,SILVE,8888-01-01 00:00:00,SCION,No Parking (street clean),21,0.0,1623.0
152,2014-08-07,EUZ3782,NY,7767863517.0,BK,2015-01-01 00:00:00,HYUND,Insp Sticker Expired (NYS),71A,0.0,1630.0
153,2014-08-19,GSN6127,NY,7603590190.0,GY,2016-01-01 00:00:00,ACURA,Expired Muni Meter,37,0.0,1632.0
154,2014-08-18,M36CKC,NJ,7095074793.0,WHITE,8888-01-01 00:00:00,CHEVR,No Parking (Non-COM),20A,0.0,1639.0
155,2014-08-23,90200MC,NY,8011156226.0,WH,2015-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,1643.0
156,2014-08-01,CLE1911,NY,8010951031.0,GY,2015-01-01 00:00:00,CHRYS,No Standing,14,0.0,1655.0
157,2014-08-14,22636MC,NY,7291440221.0,WHITE,2015-01-01 00:00:00,FORD,Failure to Disp Muni Recpt,69,0.0,1661.0
158,2014-08-12,40831ME,NY,7309565903.0,WH,2016-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,1665.0
159,2014-08-21,GJU5141,NY,7665039728.0,RD,2015-01-01 00:00:00,TOYOT,No Parking (Non-COM),20A,0.0,1682.0
160,2014-08-22,GLP6257,NY,1358791387.0,RED,2015-01-01 00:00:00,TOYOT,,,0.0,1690.0
161,2014-08-22,GLP6257,NY,1358791387.0,RED,2015-01-01 00:00:00,TOYOT,,,0.0,1691.0
162,2014-08-22,GLP6257,NY,1358791387.0,RED,2015-01-01 00:00:00,TOYOT,,,0.0,1692.0
